op,sol
ITALGEN S.P.A.,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
ENERGY FINANCING TEAM AG,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
VATTENFALL ENERGY TRADING GMBH,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
REPOWER ITALIA SPA,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
ACEA ENERGIA SPA,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
ENEL PRODUZIONE S.P.A.,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
METAENERGIA SPA,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
GREEN NETWORK SPA,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
BANCO ENERGIA SPA,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
GEN-I TRGOVANJE IN PRODAJA ELEKTRICNE ENERGIJE D.O.O.,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
DUFERCO ENERGIA S.P.A.,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
EP PRODUZIONE SPA,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
C.U.RA. CONSORZIO UTILITIES RAVENNA S.C.R.L.,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
ENOI S.P.A.,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
DOLOMITI ENERGIA TRADING SPA,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
VOLTON HELLENIC ENERGY S.A.,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
AXPO ITALIA SPA,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
WATT AND VOLT S.A.,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
SENTRADE S.A.,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
INTERENERGO D.O.O.,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
EDELWEISS ENERGIA S.P.A.,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
ELECTRADE SPA,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
ROMA GAS E POWER SPA,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
BURGO ENERGIA S.R.L.,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
GSE SPA,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
EDISON SPA,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
2V ENERGY SRL,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
4ENERGIA SRL,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
DXT COMMODITIES SA,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
E.ON ENERGIA SPA,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
CRE SCPA CONSORZIO PER LE RISORSE ENERGETICHE SCPA,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
IN COMMODITIES A/S,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
DANSKE COMMODITIES A.S,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
FREE ENERGIA SPA,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
A2A ENERGIEFUTURE S.P.A.,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
BAYWA R.E. CLEAN ENERGY S.R.L.,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
EDP RENEWABLES ITALIA HOLDING SRL,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
RENEWABLE DISPATCHING S.R.L.,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
A2A SPA,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
EZPADA S.R.O.,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
TIRRENO POWER S.P.A.,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
ENSCO ENERGY SERVICES COMPANY AG,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
IREN ENERGIA SPA,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
ENGIE ITALIA SPA,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
ILLUMIA SPA,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
FENIX SRL,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
TRAILSTONE GMBH,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
GAZPROM MARKETING & TRADING LIMITED,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
COMPAGNIE NATIONALE DU RHONE (CNR),"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
IWB INDUSTRIELLE WERKE BASEL,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
STATKRAFT MARKETS GMBH,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
ECO TRADE SRL,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
HSE D.O.O.,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
GREEK ENVIRONMENTAL & ENERGY NETWORK,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
ISAB S.R.L.,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
ENI SPA,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
C.V.A. TRADING S.R.L. A S.U.,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
CONSORZIO APUANIA ENERGIA,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
TERNA S.P.A.,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
ENERGY.DIS S.R.L.,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
HERA TRADING S.R.L.,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
OMPEX AG,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
ENERGI DANMARK A/S,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
UNIPER GLOBAL COMMODITIES SE,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
ERG POWER GENERATION S.P.A.,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
AZIENDA ELETTRICA TICINESE,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
GNERA ENERGIA Y TECNOLOGIA,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
DENCO SRL,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
PUBLIC POWER CORPORATION S.A.,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
MYTILINEOS GROUP OF COMPANIES SOCIETE ANONYME,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
RWE SUPPLY  TRADING GMBH,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
NEXT KRAFTWERKE GMBH,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
TERMICA COLLEFERRO SPA,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
ALPIQ ENERGIA ITALIA S.P.A.,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
ENERGY.TRADE SRL,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
BKW ENERGIE AG,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
NRG TRADING HOUSE SA,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
VEOS SPA,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
EDF TRADING LIMITED,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
EUROPE ENERGY S.P.A.,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
ENECO SRL,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
BANCO ENERGIA FORNITURE SRL,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
SEV ENERGIES SPA,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
ZENERGIA SRL,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
SEA ENERGIA SPA,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
OTTANA ENERGIA SPA,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
EOLICA ENERGIA SRL,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
NVALUE SA,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
ITAL GREEN ENERGY SRL,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
NOVA AEG S.P.A.,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
SORGENIA S.P.A.,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
ALPIQ AG,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
SOENERGY SRL,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
EGEA COMMERCIALE S.R.L.,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
EVISO S.R.L.,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
FRI-EL TRADING SRL,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
INTERCONSULT SPA,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
POWERMART APS,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
AXOPOWER SPA,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
CER SCARL,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
NEWATT SRL,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
GEOENERGIE S.P.A.,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
GLOBAL POWER S.P.A.,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
DALMINE SPA,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
SASOL ITALY SPA,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
ASPM ENERGIA S.R.L.,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
"ELPEDISON POWER GNERATION SA (ELPEDISON SA),","[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
ALPERIA TRADING SRL,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
MFT ENERGY,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
FALCK NEXT ENERGY SRL,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
AXPO SOLUTIONS AG,"[215.73016296   4.65371217  38.19027567   5.65333862 238.94691346
  29.25511451  58.30376099   5.38974299 595.04662492 123.80384283
   1.20822032   8.56373718]"
